ID,cartel,fine_case,y0,appear_d,appear_fas,appear_3,ecm_arg,mark_reg,length_pages,len_days,app_cass,MicroP,SmallP,MedP,LargeP,MSP,final_y,fine
А34-13358/2017,0,1,1,1,1,0,0,1,21,134,0,0,0,0,1,0,1,300000.00
А82-14258/2017,0,1,1,1,1,0,0,1,11,224,0,1,0,0,0,1,1,248756.16
А65-42632/2017,0,0,1,1,1,0,0,1,8,278,2,1,0,0,0,1,1,0
А24-1258/2018,0,1,1,1,1,0,0,1,10,28,0,1,0,0,0,1,1,2151780.00
А37-1573/2017,0,1,1,1,1,0,0,1,22,249,0,1,0,0,0,1,1,364977.00
А40-229297/17,1,0,0,1,1,0,0,1,11,330,1,1,0,0,0,1,0,237400.00
А36-9469/2016,1,0,1,0,1,0,0,1,16,300,2,1,0,0,0,1,0,0
А32-8940/2018,0,1,0,1,1,0,0,0,8,93,1,0,0,0,1,0,0,100000.00
А40-69793/17,1,0,1,1,1,0,1,3,33,617,3,0,0,0,1,0,0,6633702.64
А82-19019/2017,0,0,1,1,1,0,0,0,10,155,0,0,0,0,1,0,1,0
А29-13262/2017,1,0,0,1,1,0,0,1,11,288,1,0,1,0,0,1,0,0
А55-10042/2017,1,0,0,1,1,0,1,2,79,575,1,0,1,0,0,1,0,26338640.00
А21-595/2018,0,0,1,1,1,0,0,1,5,244,2,1,0,0,0,1,0,0
А41-83330/17,0,1,1,1,1,0,0,2,16,378,2,0,0,0,1,0,1,12777418.00
А46-242/2018,0,1,0,1,1,0,0,1,8,160,1,0,1,0,0,1,0,1784778.80
А40-3007/18,0,0,0,1,1,1,0,0,14,272,1,0,0,0,1,0,0,0
А46-21189/2017,1,0,0,1,1,1,0,1,9,344,1,0,1,0,0,1,0,4197960.00
А32-10948/2018,0,1,0,1,1,0,0,0,12,88,1,0,0,0,1,0,0,100000.00
А60-70348/2017,1,0,0,1,1,0,0,1,23,341,1,1,0,0,0,1,1,1049998.95
А46-16597/2017,0,0,1,1,1,0,1,2,16,300,2,0,0,0,1,0,1,650000.00
А65-28948/2017,1,0,0,1,1,0,0,2,18,383,1,1,0,0,0,1,0,0
А59-242/2018,0,0,0,1,1,0,0,1,7,262,1,1,0,0,0,1,0,0
А82-25288/2017,0,0,0,1,1,0,1,0,9,315,1,0,0,0,1,0,0,0
А46-339/2018,0,0,0,1,1,0,0,1,4,218,1,1,0,0,0,1,0,0
А14-3571/2017,0,1,1,1,1,0,0,1,22,629,1,0,0,0,1,0,1,12511695.00
А40-22265/18,1,0,1,1,1,0,0,3,8,267,2,0,1,0,0,1,1,0
А65-30870/2017,0,0,1,1,1,0,0,2,10,422,2,0,0,0,1,0,1,0
А45-15552/2017,0,1,1,1,0,0,0,1,5,291,0,0,0,0,1,0,1,0
А32-4109/18,1,1,0,1,1,0,0,1,11,159,1,1,0,0,0,1,0,2637960.00
А33-2359/2018,0,0,0,0,1,1,0,1,10,75,0,1,0,0,0,1,0,0
А40-187695/17,1,1,0,1,0,0,0,3,12,375,1,0,1,0,0,1,0,864150.00
А49-14010/2017,0,0,0,1,1,1,0,1,13,360,1,1,0,0,0,1,0,0
А07-32139/17,0,0,0,1,1,1,0,1,11,394,1,1,0,0,0,1,0,0
А40-16921/18,1,1,0,0,1,0,0,3,7,196,1,0,1,0,0,1,0,0
А40-16924/18,1,1,0,1,1,0,0,3,7,76,0,0,1,0,0,1,0,12709960.00
А40-255914/2017,1,0,0,1,1,0,0,3,6,236,1,1,0,0,0,1,0,0
А21-12302/2017,0,0,0,1,1,1,0,0,11,367,1,0,0,0,1,0,0,0
А38-1705/2018,1,0,0,1,1,0,0,1,14,258,1,1,0,0,0,1,0,0
А40-3363/2018,0,0,1,1,1,0,1,2,9,376,3,0,0,0,1,0,0,0
А32-56275/17,0,1,0,1,1,0,0,0,7,194,1,0,0,0,1,0,0,100000.00
А40-42131/2018,0,0,0,1,1,1,0,0,15,122,1,0,0,0,1,0,0,0
А40-26296/18,1,1,0,1,1,0,0,2,8,121,1,0,0,0,1,0,0,26869325.45
А40-25536/18,0,1,0,1,1,0,0,0,9,290,1,0,0,0,1,0,1,650000.00
А44-1066/2018,1,0,0,1,1,0,0,2,6,346,1,0,0,0,1,0,0,0
А40-242045/17,0,0,0,1,1,0,0,0,10,188,1,0,0,0,1,0,0,0
А07-3757/17,0,0,0,0,1,0,0,1,11,393,0,1,0,0,0,1,0,20000.00
А82-23305/2017,0,1,1,1,1,0,0,0,6,148,0,0,0,0,1,0,1,100000.00
А82-23566/2017,0,1,1,1,1,0,0,0,12,147,0,0,0,0,1,0,1,737500.00
А69-390/2018,0,0,0,1,1,0,0,2,19,183,1,1,0,0,0,1,0,0
А24-310/2018,1,0,1,1,1,0,0,1,15,279,2,0,0,0,1,0,1,0
А18-465/17,0,1,1,0,0,0,0,0,3,311,0,0,0,0,1,0,1,0
